,SMILES1,SMILES2,result
4196,O=C(O)c1cc2ccccc2[nH]1,Nc1ncccn1,1
4197,COc1cc(OC)c2c(OC)c1Cc1ccc(cc1)-c1ccc(cc1)Cc1c(OC)cc(OC)c(c1OC)Cc1c(OC)cc(OC)c(c1OC)Cc1ccc(cc1)-c1ccc(cc1)Cc1c(OC)cc(OC)c(c1OC)C2,CCC1CCCCN1,0
4198,c1ccc(C2(NCCNC3(c4ccccc4)c4ccccc4Sc4ccccc43)c3ccccc3Sc3ccccc32)cc1,BrCBr,1
4199,O=C(O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],Cl[Si](Cl)(Cl)[Si](Cl)(Cl)Cl,0
4200,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
4201,O=S(=O)(O)C(F)(F)F,c1ccc(C(=C(c2ccccc2)N2CCCCC2)N2CCCCC2)cc1,1
4202,NCCCCC(N)C(=O)O,O=C(O)/C=C\C(=O)O,1
4203,N#Cc1cc(I)c([N+](=O)[O-])cc1C#N,c1ccc(-c2ccccn2)nc1,1
4204,c1ccc(C23C4=C5C6(c7ccccc7)c7c2c2c8c3c3c9c%10c%11c%12c%13c%14c%15c%16c%17c%18c(c6c6c7c7c2c2c%19c8c9c8c9c%10c%13c%10c%13c%14c%17c%14c%17c%18c6c6c7c2c2c(c%198)c(c9%10)c(c%13%14)c2c6%17)C%16(c2ccccc2)C5(c2ccccc2)C(=C4C3%11c2ccccc2)C%12%15c2ccccc2)cc1,CC1=CC(=O)C(=C(C)NCCNCCNC(C)=C2C(=O)C=C(C)OC2=O)C(=O)O1,0
4205,Cn1ccccc1=O,c1ccc(-c2nc3ccccc3n2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2ccccc2-3)cc1,0
4206,CSc1cc(SC)c(SC)cc1SC,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O,0
4207,CN(C)CCN1C(c2ccccc2)Oc2c(cc(C(C)(C)C)cc2C(C)(C)C)C1c1ccccc1,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,1
4208,O=C(Nc1c(F)c(F)c(F)c(F)c1F)Nc1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F,0
4209,[Se]=P(CCc1ccccc1)(CCc1ccccc1)[Se][Se][Se]P(=[Se])(CCc1ccccc1)CCc1ccccc1,O=C1CNC(=S)N1,0
4210,Cl[Si]1(Cl)[Si](Cl)(Cl)[Si](Cl)(Cl)[Si](Cl)(Cl)[Si]1(Cl)Cl,Nc1cccc(C(=O)O)c1N,0
4211,CC12CCC(C)(c3cc(O)c(O)cc31)c1cc(O)c(O)cc12,C#Cc1cc(C#C)cc(C#C)c1,0
4212,Cc1ccncc1,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1
4213,Ic1cc2c(OCc3ccccc3)c(c1)Cc1cc(I)cc(c1OCc1ccccc1)Cc1cc(I)cc(c1OCc1ccccc1)Cc1cc(I)cc(c1OCc1ccccc1)C2,CC1CCC(c2ccccc2)S(=O)(=O)N1Cc1cc(F)c(N2CC3C(C2)C3n2cnnc2)cc1F,0
4214,NC(=O)c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C[N+](C)(C)CC(=O)[O-],0
4215,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,O=C(O)CCC(=O)O,1
4216,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,Cc1ccc(-c2c3ccccc3c(-c3ccc(C)cc3)c3c(-c4ccc(C)cc4)c4ccccc4c(-c4ccc(C)cc4)c23)cc1,0
4217,NNC(=O)c1ccncc1,COc1cc(C(=O)O)ccc1O,1
4218,Cc1ccc(C(=O)NC(C)c2ccccc2)cc1,FC1=C(F)C(F)(F)c2c(-c3c(F)c(F)c(F)c(F)c3F)c3c(c(-c4c(F)c(F)c(F)c(F)c4F)c2=C1F)C(F)(F)C(F)=C(F)C=3F,0
4219,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1ccccc1C(N)=O,0
4220,O=[N+]([O-])c1c(Br)c([N+](=O)[O-])c(Br)c([N+](=O)[O-])c1Br,CC(C)n1c2ccccc2c2ccccc21,0
4221,O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,C(=Cc1ccncc1)c1ccncc1,1
4222,Oc1cc(O)cc(-c2c3ccccc3cc3ccccc23)c1,CC1=C(C)C(=O)C(C)=C(C)C1=O,1
4223,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
4224,Fc1c(F)c(F)c(I)c(I)c1F,COc1cccc(C=Nc2ccc(C#N)cc2)c1O,1
4225,c1ccc2c(c1)ccc1ccccc12,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0
4226,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,Nc1ccc(C(=O)O)cc1,1
4227,c1cncc(-c2ccc(C(=C(c3ccc(-c4cccnc4)cc3)c3ccc(-c4cccnc4)cc3)c3ccc(-c4cccnc4)cc3)cc2)c1,NC(=O)C1CCN(O)CC1,0
4228,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,NC(=O)c1cccnc1,0
4229,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,C(C#Cc1ccncc1)#Cc1ccncc1,1
4230,Nc1nc(=O)[nH]cc1F,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1
4231,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Ic1cccc(I)c1,1
4232,CC(=O)Nc1nnc(S(N)(=O)=O)s1,Nc1cc[nH]c(=O)n1,0
4233,NC(=O)c1ccc(O)cc1,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1
4234,O=C(O)CCCCCCC(=O)O,c1ccc(Cn2ccnc2-c2nccn2Cc2ccccn2)nc1,1
4235,C=C1CCC2C(C)(C)C(=O)CCC2(C)C1CCC1C(C)=CCC2C(C)(C)C(=O)CCC12C,CC(=O)Nc1ccc(O)cc1,0
4236,c1cncc(Cn2ccnc2)c1,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,1
4237,O=C(O)/C=C/C(=O)O,NC(=O)c1ccccc1N,1
4238,Cc1ccc2c(c1)C1(O)C(=O)c3ccccc3C1(O)O2,Nc1ccccn1,1
4239,Clc1cccc2cc3c(Cl)cccc3cc12,O=S1c2ccccc2Sc2ccccc21,0
4240,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NCCCCC(N)C(=O)O,0
4241,N#CC1=C(C#N)C(=O)C(I)=C(I)C1=O,c1ccc2c(c1)ccc1ccccc12,1
4242,CCOc1ccccc1C(N)=O,O=C(O)/C=C/C(=O)O,1
4243,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(c4cccnc4)=CCC32)C1,O=C(O)c1ccc(O)cc1,1
4244,ClC12C3=C4C5(Cl)c6c7c8c9c%10c6C6(Cl)c%11c5c5c%12c%13c%11C%11(Cl)c%14c-%13c%13c%15c%16c%14C%14(Cl)C%17=C%18C%19(Cl)c%20c%21c%22c%23c%24c%20C%20(Cl)c%25c%19c(c%19c-%15c%15c%26c%27c%19c%25-c%19c%25c%28c%29c%30c%19C%20(Cl)C%24(Cl)c%19c-%30c%20c(c%24c%19C%23(Cl)C%19=C(C9%24Cl)C%10(Cl)c9c(c(c%14c%11c96)C%17%21Cl)C%19%22Cl)C8(Cl)c6c(c1c1c(c6C%29%20Cl)C%28(Cl)C6=C(C%26(Cl)c8c(c2c(c2c8C%15(Cl)C%13(Cl)C%122Cl)C35Cl)C61Cl)C%25%27Cl)C47Cl)C%18%16Cl,CCOC(=O)C12CCC(C)(C)CC1C1=CC(=O)C3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2,0
4245,Cc1ccc(C)c(N)c1,O=C(O)C=CC(=O)O,1
4246,O=C(O)c1c(O)cccc1O,O=C(O)c1cccnc1,1
4247,O=C(O)Cn1c(=O)c2cc3c(=O)n(CC(=O)O)c(=O)c3cc2c1=O,Nc1ncccn1,1
4248,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,O=C(O)CCC(=O)O,1
4249,O=C(O)c1cccc(O)c1,C(=Cc1ccncc1)c1ccncc1,1
4250,Fc1c(F)c(F)c2c(F)c3c(F)c(F)c(F)c(F)c3c(F)c2c1F,Cc1cc(=O)cc(C)o1,0
4251,COc1cc(C=Cc2ccncc2)c(OC)cc1C=Cc1ccncc1,OB(O)c1ccc(B(O)O)cc1,0
4252,Nc1ccccc1,O=C(O)CCC(=O)O,1
4253,O=C(O)CC=CCC(=O)O,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,1
4254,O=C(O)c1ccc(I)cc1,c1cc(-c2ccncc2)ccn1,1
4255,O=C(O)CCCC(=O)O,CCOc1ccccc1C(N)=O,1
4256,c1ccc([Se]c2c([Se]c3ccccc3)c([Se]c3ccccc3)c([Se]c3ccccc3)c([Se]c3ccccc3)c2[Se]c2ccccc2)cc1,C[N+]1(CC(=O)O)CCOCC1,0
4257,c1cc(CCc2ccncc2)ccn1,CC(C(=O)O)c1ccccc1,1
4258,CNC(=O)C(O)C(O)C(=O)NC,C(C#CC#Cc1ccccc1)#CC#Cc1ccccc1,0
4259,O=C(c1ccccc1-c1ccccc1C(=O)N(C1CCCCC1)C1CCCCC1)N(C1CCCCC1)C1CCCCC1,Nc1ncc2c(ncc3ccccc32)n1,0
4260,CNC=O,OC(c1ccccc1)(c1ccccc1)c1ccc(C(O)(c2ccccc2)c2ccccc2)cc1,1
4261,Fc1c(F)c(I)c(F)c(F)c1I,O=C1C=CC(=O)c2ccccc21,1
4262,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,Oc1ccc(Br)cc1,0
4263,N#Cc1nc(C#N)c(C#N)nc1C#N,c1cc2ccc3cccc4ccc(c1)c2c34,1
4264,c1cn(Cn2ccnc2)cn1,CN1C(=O)c2nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C=C3)C(=O)N(C)C1=O,0
4265,C1CSC2=C3SCCCSC4=C5SCCCSC6=C(SCCCSC7=C(SC1)SC(=C(S4)S5)S7)SC(=C(S2)S3)S6,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,0
4266,Cc1ccc(C2(O)C(=O)OC3C(O)COC32O)o1,O=C1CCC(=O)O1,1
4267,CCC(C)=C(C)CC,O=C(O)Cn1c(=O)c2cc3c(=O)n(CC(=O)O)c(=O)c3cc2c1=O,0
4268,CNCC(=O)O,O=C(O)C(O)C(O)C(=O)O,1
4269,NC(=O)c1cnccn1,Nc1cccc(C(=O)O)c1,1
4270,Cc1cc(=O)n(-c2ccccc2)n1C,c1ccc2cc(-c3ccncc3)c(-c3c4cccccc-4cc3-c3ccncc3)c-2cc1,0
4271,NC(N)=O,COc1cc(C(=O)O)ccc1O,1
4272,CC1CCC2C(C)C(=O)NC3OC4(C)CCC1C32OO4,O=C(O)c1ccccc1,1
4273,CCCOc1cc2c(OCCC)cc1Cc1cc(OCCC)c(cc1OCCC)Cc1cc(OCCC)c(cc1OCCC)Cc1cc(OCCCCBr)c(cc1OCCCCBr)Cc1cc(OCCC)c(cc1OCCC)C2,O=Cc1cccc2ccccc12,0
4274,NC(=O)c1ccncc1,O=C(O)C(O)c1ccccc1,1
4275,C(C#CC#CC12CC3CC(CC(C3)C1)C2)#CC#CC12CC3CC(CC(C3)C1)C2,OC1CCCCC1,1
4276,c1ccc(C2=C(c3ccccc3)c3nc2c(-c2ccccc2)c2ccc([nH]2)c(-c2ccccc2)c2nc(c(-c4ccccc4)c4ccc([nH]4)c3-c3ccccc3)C(c3ccccc3)=C2c2ccccc2)cc1,Nc1ccc(Br)cc1,0
4277,CCCCCCCCCCCCc1ccc2c(c1)sc1c3ccc(CCCCCCCCCCCC)cc3sc21,NCc1ccco1,0
4278,Fc1cc(F)cc(C#CI)c1,O=C(O)c1cc(O)c(O)c(O)c1,0
